date,home_team,score,away_team
02-12-2024,Sevilla,1 - 1,Osasuna
24-11-2024,Osasuna,2 - 2,Villarreal
09-11-2024,Real Madrid,4 - 0,Osasuna
02-11-2024,Osasuna,1 - 0,Valladolid
27-10-2024,Sociedad,0 - 2,Osasuna
19-10-2024,Osasuna,1 - 2,Betis
05-10-2024,Getafe,1 - 1,Osasuna
28-09-2024,Osasuna,4 - 2,FC Barcelona
24-09-2024,Valencia,0 - 0,Osasuna
21-09-2024,Osasuna,2 - 1,Las Palmas
16-09-2024,Vallecano,3 - 1,Osasuna
01-09-2024,Osasuna,3 - 2,Celta
29-08-2024,Girona,4 - 0,Osasuna
24-08-2024,Osasuna,1 - 0,Mallorca
17-08-2024,Osasuna,1 - 1,Leganes
24-05-2025,Real Madrid,2 - 0,Sociedad
18-05-2025,Sevilla,0 - 2,Real Madrid
14-05-2025,Real Madrid,2 - 1,Mallorca
11-05-2025,FC Barcelona,4 - 3,Real Madrid
04-05-2025,Real Madrid,3 - 2,Celta
23-04-2025,Getafe,0 - 1,Real Madrid
20-04-2025,Real Madrid,1 - 0,Ath Bilbao
13-04-2025,Alaves,0 - 1,Real Madrid
05-04-2025,Real Madrid,1 - 2,Valencia
29-03-2025,Real Madrid,3 - 2,Leganes
15-03-2025,Villarreal,1 - 2,Real Madrid
09-03-2025,Real Madrid,2 - 1,Vallecano
01-03-2025,Betis,2 - 1,Real Madrid
23-02-2025,Real Madrid,2 - 0,Girona
15-02-2025,Osasuna,1 - 1,Real Madrid
08-02-2025,Real Madrid,1 - 1,Ath Madrid
01-02-2025,Espanol,1 - 0,Real Madrid
25-01-2025,Valladolid,0 - 3,Real Madrid
19-01-2025,Real Madrid,4 - 1,Las Palmas
03-01-2025,Valencia,1 - 2,Real Madrid
22-12-2024,Real Madrid,4 - 2,Sevilla
14-12-2024,Vallecano,3 - 3,Real Madrid
07-12-2024,Girona,0 - 3,Real Madrid
04-12-2024,Ath Bilbao,2 - 1,Real Madrid
01-12-2024,Real Madrid,2 - 0,Getafe
24-11-2024,Leganes,0 - 3,Real Madrid
09-11-2024,Real Madrid,4 - 0,Osasuna
26-10-2024,Real Madrid,0 - 4,FC Barcelona
19-10-2024,Celta,1 - 2,Real Madrid
05-10-2024,Real Madrid,2 - 0,Villarreal
29-09-2024,Ath Madrid,1 - 1,Real Madrid
24-09-2024,Real Madrid,3 - 2,Alaves
21-09-2024,Real Madrid,4 - 1,Espanol
14-09-2024,Sociedad,0 - 2,Real Madrid
01-09-2024,Real Madrid,2 - 0,Betis
29-08-2024,Las Palmas,1 - 1,Real Madrid
25-08-2024,Real Madrid,3 - 0,Valladolid
18-08-2024,Mallorca,1 - 1,Real Madrid
25-05-2025,Villarreal,4 - 2,Sevilla
18-05-2025,Sevilla,0 - 2,Real Madrid
13-05-2025,Sevilla,1 - 0,Las Palmas
10-05-2025,Celta,3 - 2,Sevilla
04-05-2025,Sevilla,2 - 2,Leganes
24-04-2025,Osasuna,1 - 0,Sevilla
20-04-2025,Sevilla,1 - 1,Alaves
11-04-2025,Valencia,1 - 0,Sevilla
06-04-2025,Sevilla,1 - 2,Ath Madrid
30-03-2025,Betis,2 - 1,Sevilla
16-03-2025,Sevilla,0 - 1,Ath Bilbao
09-03-2025,Sociedad,0 - 1,Sevilla
01-03-2025,Vallecano,1 - 1,Sevilla
24-02-2025,Sevilla,1 - 1,Mallorca
16-02-2025,Valladolid,0 - 4,Sevilla
09-02-2025,Sevilla,1 - 4,FC Barcelona
01-02-2025,Getafe,0 - 0,Sevilla
25-01-2025,Sevilla,1 - 1,Espanol
18-01-2025,Girona,1 - 2,Sevilla
11-01-2025,Sevilla,1 - 1,Valencia
22-12-2024,Real Madrid,4 - 2,Sevilla
14-12-2024,Sevilla,1 - 0,Celta
08-12-2024,Ath Madrid,4 - 3,Sevilla
02-12-2024,Sevilla,1 - 1,Osasuna
24-11-2024,Sevilla,1 - 0,Vallecano
09-11-2024,Leganes,1 - 0,Sevilla
03-11-2024,Sevilla,0 - 2,Sociedad
25-10-2024,Espanol,0 - 2,Sevilla
20-10-2024,FC Barcelona,5 - 1,Sevilla
